TradeID,ScripName,Type,Side,SellDateTime,BuyDateTime,SellPrice,BuyPrice,PnL,ExitReason
122,MIDCPNIFTY24OCT12800CE,CE,SHORT,2024-10-22 14:00:00,2024-10-24 09:15:00,53.3,33.6,2364.0,ROLLOVER_EXIT
123,MIDCPNIFTY24NOV12500CE,CE,SHORT,2024-10-31 14:50:00,2024-11-06 10:25:00,172.0,246.95,-8994.0,EMA_REVERSAL_SL
124,MIDCPNIFTY24NOV12700PE,PE,SHORT,2024-11-07 14:00:00,2024-11-18 11:45:00,305.95,590.0,-34086.0,EMA_REVERSAL_SL
125,MIDCPNIFTY24NOV12100PE,PE,SHORT,2024-11-18 14:00:00,2024-11-19 15:10:00,107.95,86.55,2568.0,EMA_REVERSAL_SL
126,MIDCPNIFTY24NOV12200CE,CE,SHORT,2024-11-19 15:15:00,2024-11-21 09:15:00,79.75,71.6,978.0,ROLLOVER_EXIT
127,MIDCPNIFTY24DEC12400PE,PE,SHORT,2024-11-25 14:00:00,2024-11-26 15:15:00,156.7,168.25,-1386.0,EMA_REVERSAL_SL
128,MIDCPNIFTY24DEC12600PE,PE,SHORT,2024-11-27 14:00:00,2024-11-28 11:15:00,214.95,246.0,-3726.0,EMA_REVERSAL_SL
129,MIDCPNIFTY24DEC12700CE,CE,SHORT,2024-11-28 14:00:00,2024-11-29 10:00:00,224.65,245.95,-2556.0,EMA_REVERSAL_SL
130,MIDCPNIFTY24DEC12500PE,PE,SHORT,2024-11-29 14:00:00,2024-12-11 09:55:00,151.0,29.0,14640.0,TARGET_LTP_30
131,MIDCPNIFTY24DEC13000PE,PE,SHORT,2024-12-11 14:00:00,2024-12-12 12:15:00,113.5,132.6,-2292.0,EMA_REVERSAL_SL
132,MIDCPNIFTY24DEC13200CE,CE,SHORT,2024-12-12 14:00:00,2024-12-13 13:05:00,125.85,124.15,204.0,EMA_REVERSAL_SL
133,MIDCPNIFTY24DEC13000PE,PE,SHORT,2024-12-13 14:00:00,2024-12-17 10:35:00,106.95,94.2,1530.0,EMA_REVERSAL_SL
134,MIDCPNIFTY24DEC13300CE,CE,SHORT,2024-12-17 14:00:00,2024-12-19 09:15:00,84.9,28.2,6804.0,TARGET_LTP_30
135,MIDCPNIFTY24DEC12800PE,PE,SHORT,2024-12-19 14:25:00,2024-12-20 10:10:00,66.55,93.9,-3282.0,EMA_REVERSAL_SL
136,MIDCPNIFTY24DEC13100CE,CE,SHORT,2024-12-20 14:00:00,2024-12-23 09:25:00,42.3,29.0,1596.0,TARGET_LTP_30
137,MIDCPNIFTY25JAN12800CE,CE,SHORT,2024-12-23 14:00:00,2024-12-24 11:40:00,295.3,324.0,-3444.0,EMA_REVERSAL_SL
138,MIDCPNIFTY25JAN12800CE,CE,SHORT,2024-12-24 14:00:00,2024-12-26 14:20:00,296.25,299.15,-348.0,EMA_REVERSAL_SL
139,MIDCPNIFTY25JAN12700PE,PE,SHORT,2024-12-26 14:25:00,2024-12-30 09:40:00,211.45,210.8,78.0,EMA_REVERSAL_SL
140,MIDCPNIFTY25JAN12800CE,CE,SHORT,2024-12-30 14:00:00,2024-12-30 15:00:00,283.8,404.7,-14508.0,EMA_REVERSAL_SL
141,MIDCPNIFTY25JAN12800PE,PE,SHORT,2024-12-31 14:00:00,2025-01-01 10:00:00,184.4,240.8,-6768.0,EMA_REVERSAL_SL
142,MIDCPNIFTY25JAN12900PE,PE,SHORT,2025-01-01 14:00:00,2025-01-06 09:35:00,232.3,206.5,3096.0,EMA_REVERSAL_SL
143,MIDCPNIFTY25JAN13100CE,CE,SHORT,2025-01-06 14:00:00,2025-01-09 10:15:00,111.65,74.8,4422.0,EMA_REVERSAL_SL
144,MIDCPNIFTY25JAN12700CE,CE,SHORT,2025-01-09 14:00:00,2025-01-13 13:45:00,164.15,29.6,16146.0,TARGET_LTP_30
145,MIDCPNIFTY25JAN12200CE,CE,SHORT,2025-01-13 14:00:00,2025-01-14 14:25:00,116.95,154.5,-4506.0,EMA_REVERSAL_SL
146,MIDCPNIFTY25JAN11800PE,PE,SHORT,2025-01-14 14:30:00,2025-01-21 10:00:00,128.5,61.05,8094.0,EMA_REVERSAL_SL
147,MIDCPNIFTY25JAN12400CE,CE,SHORT,2025-01-21 14:00:00,2025-01-22 11:15:00,77.45,27.85,5952.0,TARGET_LTP_30
148,MIDCPNIFTY25JAN12100CE,CE,SHORT,2025-01-22 14:00:00,2025-01-23 09:30:00,63.0,114.0,-6120.0,EMA_REVERSAL_SL
149,MIDCPNIFTY25JAN11900PE,PE,SHORT,2025-01-23 14:00:00,2025-01-24 10:05:00,56.55,92.2,-4278.0,EMA_REVERSAL_SL
150,MIDCPNIFTY25JAN12200CE,CE,SHORT,2025-01-24 14:00:00,2025-01-27 09:55:00,113.95,27.75,10344.0,TARGET_LTP_30
151,MIDCPNIFTY25FEB12000CE,CE,SHORT,2025-01-27 14:00:00,2025-01-29 10:00:00,305.0,334.95,-3594.0,EMA_REVERSAL_SL
152,MIDCPNIFTY25FEB11900CE,CE,SHORT,2025-01-30 14:00:00,2025-01-31 09:45:00,379.95,415.15,-4224.0,EMA_REVERSAL_SL
153,MIDCPNIFTY25FEB11800PE,PE,SHORT,2025-01-31 14:00:00,2025-02-01 13:10:00,307.6,361.55,-6474.0,EMA_REVERSAL_SL
154,MIDCPNIFTY25FEB12000CE,CE,SHORT,2025-02-01 14:00:00,2025-02-04 09:15:00,238.95,274.95,-4320.0,EMA_REVERSAL_SL
155,MIDCPNIFTY25FEB11900PE,PE,SHORT,2025-02-04 14:00:00,2025-02-06 09:55:00,237.95,174.4,7626.0,EMA_REVERSAL_SL
156,MIDCPNIFTY25FEB12200CE,CE,SHORT,2025-02-06 14:00:00,2025-02-07 11:20:00,174.3,216.8,-5100.0,EMA_REVERSAL_SL
157,MIDCPNIFTY25FEB12000CE,CE,SHORT,2025-02-07 14:05:00,2025-02-12 13:05:00,241.0,72.35,20238.0,EMA_REVERSAL_SL
158,MIDCPNIFTY25FEB11500CE,CE,SHORT,2025-02-12 14:30:00,2025-02-13 10:00:00,183.55,256.2,-8718.0,EMA_REVERSAL_SL
159,MIDCPNIFTY25FEB11500CE,CE,SHORT,2025-02-13 14:00:00,2025-02-17 13:50:00,190.1,93.0,11652.0,EMA_REVERSAL_SL
