TradeID,ScripName,BuyDateTime,SellDateTime,BuyPrice,SellPrice,PnL,ExitReason
103,MIDCPNIFTY25FEB11100CE,2025-02-19 14:55:00,2025-02-20 09:25:00,200.25,298.4,11778.0,EMA_REVERSAL
104,MIDCPNIFTY25FEB11300PE,2025-02-21 15:00:00,2025-02-24 11:40:00,96.95,220.0,14766.0,EMA_REVERSAL
105,MIDCPNIFTY25MAR11100CE,2025-02-24 14:50:00,2025-02-25 09:20:00,335.0,366.0,3720.0,EMA_REVERSAL
106,MIDCPNIFTY25MAR11100CE,2025-02-27 15:00:00,2025-02-28 09:15:00,327.95,251.45,-9180.0,EMA_REVERSAL
107,MIDCPNIFTY25MAR10700PE,2025-03-04 15:25:00,2025-03-05 09:15:00,201.35,222.8,2574.0,EMA_REVERSAL
108,MIDCPNIFTY25MAR11100PE,2025-03-07 15:20:00,2025-03-10 09:45:00,232.55,248.3,1890.0,EMA_REVERSAL
109,MIDCPNIFTY25MAR10900CE,2025-03-17 15:00:00,2025-03-18 12:40:00,210.95,176.0,-4194.0,EMA_REVERSAL
110,MIDCPNIFTY25MAR11400PE,2025-03-20 15:15:00,2025-03-21 09:30:00,140.5,124.1,-1968.0,EMA_REVERSAL
111,MIDCPNIFTY25APR11500PE,2025-03-24 15:00:00,2025-03-25 13:45:00,225.0,176.5,-5820.0,EMA_REVERSAL
112,MIDCPNIFTY25APR11700PE,2025-03-25 15:10:00,2025-03-26 09:25:00,255.0,345.9,10908.0,EMA_REVERSAL
113,MIDCPNIFTY25APR11500CE,2025-03-27 15:05:00,2025-03-28 12:20:00,304.65,378.15,8820.0,EMA_REVERSAL
114,MIDCPNIFTY25APR11600PE,2025-03-28 15:25:00,2025-04-01 09:40:00,248.1,293.9,5496.0,EMA_REVERSAL
115,MIDCPNIFTY25APR11500PE,2025-04-01 14:50:00,2025-04-02 09:30:00,252.75,301.25,5820.0,EMA_REVERSAL
116,MIDCPNIFTY25APR11600CE,2025-04-03 15:00:00,2025-04-04 09:15:00,230.65,208.9,-2610.0,EMA_REVERSAL
117,MIDCPNIFTY25APR11500CE,2025-04-04 15:25:00,2025-04-07 09:15:00,128.0,111.25,-2010.0,EMA_REVERSAL
118,MIDCPNIFTY25APR11000PE,2025-04-09 15:25:00,2025-04-11 09:15:00,361.2,283.0,-9384.0,EMA_REVERSAL
119,MIDCPNIFTY25APR11600CE,2025-04-16 14:50:00,2025-04-17 09:25:00,143.55,133.85,-1164.0,EMA_REVERSAL
120,MIDCPNIFTY25MAY11900PE,2025-04-22 14:55:00,2025-04-23 09:15:00,287.0,287.0,0.0,EMA_REVERSAL
121,MIDCPNIFTY25MAY12200PE,2025-04-25 14:55:00,2025-04-28 09:30:00,293.3,472.6,21516.0,EMA_REVERSAL
122,MIDCPNIFTY25MAY12000CE,2025-04-28 15:00:00,2025-04-29 10:30:00,386.7,486.65,11994.0,EMA_REVERSAL
123,MIDCPNIFTY25MAY12200PE,2025-04-30 15:15:00,2025-05-02 09:35:00,331.2,431.1,11988.0,EMA_REVERSAL
124,MIDCPNIFTY25MAY12000PE,2025-05-02 15:00:00,2025-05-05 09:15:00,279.75,341.0,7350.0,EMA_REVERSAL
125,MIDCPNIFTY25MAY11900CE,2025-05-07 15:05:00,2025-05-08 12:25:00,507.0,541.85,4182.0,EMA_REVERSAL
126,MIDCPNIFTY25MAY12600CE,2025-05-14 14:50:00,2025-05-15 11:35:00,294.3,299.0,564.0,EMA_REVERSAL
